timestamp,index,open,high,low,close,volume
2022-11-22 15:55:00-05:00,1669150500,399.78,399.81,399.58,399.78,4076
2022-11-22 15:56:00-05:00,1669150560,399.79,399.94,399.76,399.89,4645
2022-11-22 15:57:00-05:00,1669150620,399.88,400.05,399.87,400.0,6653
2022-11-22 15:58:00-05:00,1669150680,400.01,400.03,399.78,399.87,8937
2022-11-22 15:59:00-05:00,1669150740,399.87,400.07,399.81,399.87,21029
2022-11-23 09:30:00-05:00,1669213800,399.55,399.89,399.49,399.88,4979
2022-11-23 09:31:00-05:00,1669213860,399.88,400.14,399.81,399.88,1768
2022-11-23 09:32:00-05:00,1669213920,399.88,400.12,399.79,400.11,1238
2022-11-23 09:33:00-05:00,1669213980,400.11,400.26,400.01,400.26,2387
2022-11-23 09:34:00-05:00,1669214040,400.26,400.46,400.26,400.39,1774
2022-11-23 09:35:00-05:00,1669214100,400.41,400.61,400.41,400.56,1184
2022-11-23 09:36:00-05:00,1669214160,400.55,400.56,400.44,400.47,1000
2022-11-23 09:37:00-05:00,1669214220,400.46,400.7,400.43,400.56,1191
2022-11-23 09:38:00-05:00,1669214280,400.56,400.7,400.48,400.63,1476
2022-11-23 09:39:00-05:00,1669214340,400.63,400.89,400.62,400.83,1364
2022-11-23 09:40:00-05:00,1669214400,400.83,400.88,400.64,400.69,1369
2022-11-23 09:41:00-05:00,1669214460,400.68,400.85,400.56,400.63,1130
2022-11-23 09:42:00-05:00,1669214520,400.63,400.79,400.43,400.45,864
2022-11-23 09:43:00-05:00,1669214580,400.44,400.59,400.37,400.5,1459
2022-11-23 09:44:00-05:00,1669214640,400.5,400.6,400.46,400.59,876
2022-11-23 09:45:00-05:00,1669214700,400.59,401.78,400.51,400.89,7015
2022-11-23 09:46:00-05:00,1669214760,400.88,401.13,400.55,401.09,2351
2022-11-23 09:47:00-05:00,1669214820,401.09,401.26,400.91,401.23,1283
2022-11-23 09:48:00-05:00,1669214880,401.25,401.63,401.23,401.48,2254
2022-11-23 09:49:00-05:00,1669214940,401.5,401.52,401.15,401.19,1533
2022-11-23 09:50:00-05:00,1669215000,401.16,401.63,401.15,401.59,1921
2022-11-23 09:51:00-05:00,1669215060,401.59,401.85,401.52,401.65,1670
2022-11-23 09:52:00-05:00,1669215120,401.66,401.76,401.58,401.64,1678
2022-11-23 09:53:00-05:00,1669215180,401.62,401.8,401.59,401.75,935
2022-11-23 09:54:00-05:00,1669215240,401.76,401.81,401.61,401.62,1263
2022-11-23 09:55:00-05:00,1669215300,401.61,401.69,401.36,401.46,3075
2022-11-23 09:56:00-05:00,1669215360,401.46,401.64,401.41,401.53,1427
2022-11-23 09:57:00-05:00,1669215420,401.52,401.62,401.34,401.37,1640
2022-11-23 09:58:00-05:00,1669215480,401.37,401.42,401.23,401.27,966
2022-11-23 09:59:00-05:00,1669215540,401.27,401.43,401.25,401.38,921
2022-11-23 10:00:00-05:00,1669215600,401.41,401.72,400.69,401.08,4452
2022-11-23 10:01:00-05:00,1669215660,401.09,401.33,400.95,401.21,1361
2022-11-23 10:02:00-05:00,1669215720,401.2,401.6,401.19,401.5,2273
2022-11-23 10:03:00-05:00,1669215780,401.5,401.6,401.35,401.53,1291
2022-11-23 10:04:00-05:00,1669215840,401.6,401.63,401.41,401.54,1417
2022-11-23 10:05:00-05:00,1669215900,401.54,401.65,401.43,401.61,977
2022-11-23 10:06:00-05:00,1669215960,401.61,402.0,401.57,401.91,1808
2022-11-23 10:07:00-05:00,1669216020,401.92,402.07,401.87,401.95,1372
2022-11-23 10:08:00-05:00,1669216080,401.98,402.0,401.74,401.74,1390
2022-11-23 10:09:00-05:00,1669216140,401.72,401.76,401.53,401.69,1527
2022-11-23 10:10:00-05:00,1669216200,401.69,401.83,401.63,401.83,1351
2022-11-23 10:11:00-05:00,1669216260,401.84,401.87,401.59,401.66,1027
2022-11-23 10:12:00-05:00,1669216320,401.65,401.84,401.54,401.75,1167
2022-11-23 10:13:00-05:00,1669216380,401.75,401.88,401.75,401.84,847
2022-11-23 10:14:00-05:00,1669216440,401.85,401.91,401.55,401.59,1002
2022-11-23 10:15:00-05:00,1669216500,401.6,401.65,401.36,401.38,1256
2022-11-23 10:16:00-05:00,1669216560,401.38,401.46,401.14,401.23,1371
2022-11-23 10:17:00-05:00,1669216620,401.22,401.42,401.21,401.26,1016
2022-11-23 10:18:00-05:00,1669216680,401.28,401.54,401.25,401.54,948
2022-11-23 10:19:00-05:00,1669216740,401.54,401.62,401.45,401.55,488
2022-11-23 10:20:00-05:00,1669216800,401.54,401.59,401.4,401.52,579
2022-11-23 10:21:00-05:00,1669216860,401.55,401.55,401.38,401.4,912
2022-11-23 10:22:00-05:00,1669216920,401.41,401.63,401.41,401.57,946
2022-11-23 10:23:00-05:00,1669216980,401.55,401.58,401.36,401.55,437
2022-11-23 10:24:00-05:00,1669217040,401.58,401.82,401.5,401.78,1038
2022-11-23 10:25:00-05:00,1669217100,401.77,401.96,401.77,401.83,1610
2022-11-23 10:26:00-05:00,1669217160,401.84,401.97,401.8,401.86,1259
2022-11-23 10:27:00-05:00,1669217220,401.86,401.88,401.6,401.73,712
2022-11-23 10:28:00-05:00,1669217280,401.74,401.89,401.65,401.87,1464
2022-11-23 10:29:00-05:00,1669217340,401.87,401.99,401.83,401.93,990
2022-11-23 10:30:00-05:00,1669217400,401.92,402.04,401.87,401.92,1152
2022-11-23 10:31:00-05:00,1669217460,401.91,402.03,401.87,402.03,768
2022-11-23 10:32:00-05:00,1669217520,402.03,402.25,402.02,402.19,1798
2022-11-23 10:33:00-05:00,1669217580,402.19,402.28,402.06,402.1,1720
2022-11-23 10:34:00-05:00,1669217640,402.1,402.16,402.06,402.11,1061
2022-11-23 10:35:00-05:00,1669217700,402.11,402.18,402.03,402.06,869
2022-11-23 10:36:00-05:00,1669217760,402.07,402.12,402.02,402.09,986
2022-11-23 10:37:00-05:00,1669217820,402.1,402.17,402.0,402.01,956
2022-11-23 10:38:00-05:00,1669217880,402.02,402.05,401.94,401.96,1089
2022-11-23 10:39:00-05:00,1669217940,401.97,402.14,401.96,402.12,991
2022-11-23 10:40:00-05:00,1669218000,402.11,402.23,402.1,402.21,1649
2022-11-23 10:41:00-05:00,1669218060,402.22,402.23,402.03,402.1,1061
2022-11-23 10:42:00-05:00,1669218120,402.09,402.22,402.04,402.21,1320
2022-11-23 10:43:00-05:00,1669218180,402.21,402.74,402.17,402.26,3609
2022-11-23 10:44:00-05:00,1669218240,402.25,402.28,402.11,402.23,1270
2022-11-23 10:45:00-05:00,1669218300,402.23,402.28,402.03,402.08,1050
2022-11-23 10:46:00-05:00,1669218360,402.08,402.12,401.78,401.83,1885
2022-11-23 10:47:00-05:00,1669218420,401.83,402.02,401.83,402.0,1257
2022-11-23 10:48:00-05:00,1669218480,402.01,402.04,401.85,401.9,1079
2022-11-23 10:49:00-05:00,1669218540,401.91,401.98,401.87,401.93,512
2022-11-23 10:50:00-05:00,1669218600,401.93,402.07,401.92,402.06,1251
