time, fast, fast1, slow, tLine, macd, signalLine, longBool, shortBool, longFlag, shortFlag, enterFlag, entryFlag, exitFlag, askPrice, bidPrice, lastPrice, midPrice, portfolioValue, positionValue, cash 
1668784500.0, 395.03, 395.06, 395.05, 394.91, -0.18, -0.13, False, True, True, True, True, True, True, 394.8, 394.8, 394.8, 394.8, 99998.51000000001, -40269.6, 140268.11000000002
1668785460.0, 395.22, 395.18, 395.08, 395.29, -0.07, -0.11, False, False, False, True, False, True, True, 395.5, 395.5, 395.5, 395.5, 99948.57, -20170.5, 120119.07
1668787680.0, 394.56, 394.57, 394.96, 394.49, -0.18, -0.2, False, False, False, True, False, True, True, 394.43, 394.43, 394.43, 394.43, 99947.08000000002, -20115.93, 120063.01000000001
1668789360.0, 395.55, 395.54, 395.28, 395.59, 0.13, 0.14, False, False, True, False, False, True, True, 395.58, 395.58, 395.58, 395.58, 99942.53000000001, 20174.579999999998, 79767.95000000001
1668792540.0, 393.69, 393.69, 394.21, 393.64, -0.23, -0.32, False, False, False, True, False, True, True, 393.71, 393.71, 393.71, 393.71, 99930.84000000003, -20079.21, 120010.05000000002
1668795960.0, 394.16, 394.14, 394.07, 394.2, 0.06, 0.05, False, False, False, True, False, True, True, 394.23, 394.23, 394.23, 394.23, 99908.44000000003, -20105.73, 120014.17000000003
1668797940.0, 393.75, 393.75, 393.92, 393.73, -0.1, -0.13, False, False, False, True, False, True, True, 393.78, 393.78, 393.78, 393.78, 99909.50000000003, -20082.78, 119992.28000000003
1668799740.0, 394.47, 394.46, 394.28, 394.49, 0.1, 0.1, False, False, True, False, False, True, True, 394.52, 394.52, 394.52, 394.52, 99915.95000000004, 84427.28, 15488.670000000042
1668800580.0, 394.33, 394.31, 394.3, 394.35, 0.02, 0.02, False, False, True, True, False, True, True, 394.48, 394.48, 394.48, 394.48, 99883.81000000003, -40236.96, 140120.77000000002
1668802620.0, 395.23, 395.26, 394.85, 395.26, 0.16, 0.21, False, False, True, False, False, True, True, 395.09, 395.09, 395.09, 395.09, 99913.43000000002, 20149.59, 79763.84000000003
1669047660.0, 393.94, 393.95, 393.96, 393.95, 0.06, 0.06, False, False, True, False, False, True, True, 393.87, 393.87, 393.87, 393.87, 99896.13000000002, 20087.37, 79808.76000000002
1669048860.0, 393.83, 393.82, 393.88, 393.82, 0.0, -0.01, False, False, True, True, False, True, True, 393.84, 393.84, 393.84, 393.84, 99890.07000000004, -40171.68, 140061.75000000003
1669050960.0, 393.87, 393.87, 393.8, 393.9, 0.04, 0.04, False, False, True, False, False, True, True, 393.91, 393.91, 393.91, 393.91, 99887.56000000004, 20089.41, 79798.15000000004
1669051500.0, 393.79, 393.79, 393.79, 393.79, 0.0, -0.0, False, False, False, True, False, True, True, 393.73, 393.73, 393.73, 393.73, 99886.07000000005, -20080.23, 119966.30000000005
1669051740.0, 393.74, 393.75, 393.78, 393.7, -0.02, -0.01, False, False, True, False, False, True, True, 393.63, 393.63, 393.63, 393.63, 99867.75000000006, 20075.13, 79792.62000000005
1669053840.0, 394.11, 394.1, 394.05, 394.11, 0.02, 0.0, False, False, False, True, False, True, True, 394.15, 394.15, 394.15, 394.15, 99850.45000000007, -20101.649999999998, 119952.10000000006
1669136940.0, 397.43, 397.44, 397.33, 397.44, 0.05, 0.07, False, False, True, False, False, True, True, 397.34, 397.34, 397.34, 397.34, 99849.95000000007, 19867.0, 79982.95000000007
1669139760.0, 397.46, 397.47, 397.49, 397.43, -0.04, -0.02, False, False, True, False, False, True, True, 397.37, 397.37, 397.37, 397.37, 99840.45000000007, 19868.5, 79971.95000000007
1669140300.0, 397.51, 397.49, 397.49, 397.51, 0.0, -0.02, False, False, False, True, False, True, True, 397.58, 397.58, 397.58, 397.58, 99828.95000000007, -19879.0, 119707.95000000007
1669144740.0, 398.36, 398.35, 398.33, 398.35, -0.02, -0.03, False, False, False, True, False, True, True, 398.38, 398.38, 398.38, 398.38, 99819.45000000007, -19919.0, 119738.45000000007
1669223280.0, 400.62, 400.62, 401.11, 400.55, -0.2, -0.31, False, False, False, True, False, True, True, 400.66, 400.66, 400.66, 400.66, 99840.95000000007, -20033.0, 119873.95000000007
1669229520.0, 400.87, 400.89, 400.69, 400.85, 0.1, 0.16, False, False, True, False, False, True, True, 400.73, 400.73, 400.73, 400.73, 99856.45000000007, 20036.5, 79819.95000000007
1669230780.0, 401.76, 401.78, 401.26, 401.84, 0.23, 0.28, False, False, True, False, False, True, True, 401.85, 401.85, 401.85, 401.85, 99839.95000000007, 20092.5, 79747.45000000007
1669232580.0, 401.74, 401.74, 401.7, 401.71, -0.07, -0.03, False, False, False, True, False, True, True, 401.74, 401.74, 401.74, 401.74, 99820.45000000007, -20087.0, 119907.45000000007
1669397700.0, 402.33, 402.35, 402.39, 402.29, -0.04, 0.0, False, False, True, False, False, True, True, 402.19, 402.19, 402.19, 402.19, 99800.95000000007, 20109.5, 79691.45000000007
1669654860.0, 398.91, 398.92, 398.85, 398.92, 0.04, 0.06, False, False, True, False, False, True, True, 398.89, 398.89, 398.89, 398.89, 99799.45000000007, 19944.5, 79854.95000000007
1669734240.0, 395.75, 395.75, 395.74, 395.74, 0.02, -0.01, False, False, True, False, False, True, True, 395.73, 395.73, 395.73, 395.73, 99781.95000000007, 19786.5, 79995.45000000007
1669739580.0, 393.94, 393.94, 394.68, 393.91, -0.33, -0.44, False, False, False, True, False, True, True, 393.98, 393.98, 393.98, 393.98, 99897.95000000007, -19699.0, 119596.95000000007
1669744020.0, 394.88, 394.88, 394.58, 394.92, 0.14, 0.14, False, False, True, False, False, True, True, 394.93, 394.93, 394.93, 394.93, 99917.56000000008, 87674.46, 12243.100000000071
1669745700.0, 394.8, 394.76, 394.74, 394.8, 0.01, 0.0, False, False, False, True, False, True, True, 395.01, 395.01, 395.01, 395.01, 99893.52000000008, -20145.51, 120039.03000000007
1669749120.0, 395.56, 395.56, 395.1, 395.64, 0.28, 0.29, False, False, True, False, False, True, True, 395.64, 395.64, 395.64, 395.64, 100102.05000000006, 96140.51999999999, 3961.5300000000716
1669751580.0, 394.47, 394.46, 394.68, 394.48, -0.16, -0.19, False, False, False, True, False, True, True, 394.55, 394.55, 394.55, 394.55, 100109.53000000006, -20122.05, 120231.58000000006
1669753800.0, 394.95, 394.95, 394.94, 394.94, 0.04, 0.05, False, False, False, True, False, True, True, 394.94, 394.94, 394.94, 394.94, 100096.31000000006, -20141.94, 120238.25000000006
1669829760.0, 393.91, 393.92, 394.34, 393.83, -0.22, -0.24, False, False, False, True, False, True, True, 393.82, 393.82, 393.82, 393.82, 100144.29000000007, -20084.82, 120229.11000000006
1669834080.0, 397.47, 397.47, 396.21, 397.65, 0.61, 0.68, False, False, True, False, False, True, True, 397.57, 397.57, 397.57, 397.57, 100198.39000000007, 20276.07, 79922.32000000007
1669836840.0, 402.77, 402.77, 401.12, 402.88, 0.59, 0.74, False, False, True, False, False, True, True, 402.75, 402.75, 402.75, 402.75, 100367.89000000007, 20137.5, 80230.39000000007
1669908960.0, 405.45, 405.46, 406.35, 405.44, -0.53, -0.63, False, False, False, True, False, True, True, 405.51, 405.51, 405.51, 405.51, 100445.27000000008, -19869.989999999998, 120315.26000000007
1669910880.0, 407.05, 407.07, 406.85, 407.06, 0.27, 0.3, False, False, True, False, False, True, True, 406.96, 406.96, 406.96, 406.96, 100440.82000000008, 19941.039999999997, 80499.78000000009
1669911900.0, 406.61, 406.61, 406.74, 406.6, -0.01, 0.02, False, False, True, True, False, True, True, 406.62, 406.62, 406.62, 406.62, 100422.63000000006, -39848.76, 140271.39000000007
1669926720.0, 407.51, 407.49, 407.51, 407.52, -0.02, -0.07, False, False, False, False, False, False, False, 407.66, 407.66, 407.66, 407.66, 100369.67000000007, -19975.34, 120345.01000000007
1669996560.0, 404.49, 404.49, 404.25, 404.53, 0.14, 0.18, False, False, True, False, False, True, True, 404.47, 404.47, 404.47, 404.47, 100365.17000000007, 60670.50000000001, 39694.67000000007
1669997640.0, 404.01, 404.01, 404.0, 403.97, -0.03, -0.05, False, False, False, True, False, True, True, 404.03, 404.03, 404.03, 404.03, 100349.67000000007, -20201.5, 120551.17000000007
1669999980.0, 405.52, 405.52, 404.99, 405.56, 0.26, 0.32, False, False, True, False, False, True, True, 405.51, 405.51, 405.51, 405.51, 100341.30000000008, 19869.989999999998, 80471.31000000007
1670009340.0, 405.13, 405.12, 405.06, 405.19, 0.01, 0.01, False, False, True, False, False, True, True, 405.27, 405.27, 405.27, 405.27, 100363.80000000008, 81054.0, 19309.800000000076
1670012520.0, 407.36, 407.36, 406.64, 407.41, 0.34, 0.38, False, False, True, False, False, True, True, 407.39, 407.39, 407.39, 407.39, 100407.86000000007, 19962.11, 80445.75000000007
1670252880.0, 402.94, 402.95, 404.07, 402.86, -0.53, -0.55, False, False, False, True, False, True, True, 402.82, 402.82, 402.82, 402.82, 100381.86000000007, -20141.0, 120522.86000000007
1670255580.0, 403.24, 403.26, 403.31, 403.25, 0.07, 0.11, False, False, True, False, False, True, True, 403.14, 403.14, 403.14, 403.14, 100362.36000000007, 20157.0, 80205.36000000007
