time, fast, fast1, slow, tLine, macd, signalLine, longBool, shortBool, longFlag, shortFlag, enterFlag, entryFlag, exitFlag, askPrice, bidPrice, lastPrice, midPrice, portfolioValue, positionValue, cash 
1668784080.306129, 395.07, 395.19, 395.1, 394.91, -0.2, 0.0, False, False, False, True, False, True, False, 394.41, 394.41, 394.41, 394.41, 100000.0, 0.0, 100000.0
1668784500.306129, 395.03, 395.06, 395.05, 394.91, -0.18, -0.13, False, False, False, False, False, False, False, 394.8, 394.8, 394.8, 394.8, 99979.11, -20134.8, 120113.91
1668785040.306129, 395.28, 395.24, 395.08, 395.35, -0.06, -0.12, False, False, True, False, False, True, False, 395.53, 395.53, 395.53, 395.53, 99978.11, 0.0, 99978.11
1668785280.306129, 394.98, 395.06, 395.01, 394.9, -0.15, -0.12, False, False, False, False, False, False, False, 394.56, 394.56, 394.56, 394.56, 99927.64, 20122.56, 79805.08
1668785880.306129, 395.34, 395.3, 395.16, 395.37, 0.04, -0.04, False, False, True, False, False, True, False, 395.47, 395.47, 395.47, 395.47, 99926.64, 0.0, 99926.64
1668795720.306129, 394.02, 394.05, 394.03, 394.01, 0.01, 0.07, False, False, False, False, False, False, False, 393.83, 393.83, 393.83, 393.83, 99842.0, 20085.329999999998, 79756.67
1668796140.306129, 394.36, 394.32, 394.14, 394.44, 0.15, 0.09, False, False, True, False, False, True, False, 394.6, 394.6, 394.6, 394.6, 99841.0, 0.0, 99841.0
1668798180.306129, 394.03, 393.97, 393.99, 394.12, 0.04, -0.06, False, False, False, False, False, False, False, 394.43, 394.43, 394.43, 394.43, 99831.32999999999, 20115.93, 79715.4
1668798240.306129, 394.07, 394.03, 394.0, 394.15, 0.07, -0.03, False, False, True, False, False, True, False, 394.3, 394.3, 394.3, 394.3, 99830.32999999999, 0.0, 99830.32999999999
1668800220.306129, 394.25, 394.28, 394.27, 394.21, -0.01, 0.04, False, False, False, False, False, False, False, 394.11, 394.11, 394.11, 394.11, 99819.63999999998, 20099.61, 79720.02999999998
1668801240.306129, 394.31, 394.28, 394.28, 394.36, 0.0, -0.01, False, False, True, False, False, True, False, 394.47, 394.47, 394.47, 394.47, 99818.63999999998, 0.0, 99818.63999999998
1668803400.306129, 395.54, 395.48, 395.11, 395.64, 0.22, 0.16, False, False, False, False, False, False, False, 395.9, 395.9, 395.9, 395.9, 99890.56999999998, 20190.899999999998, 79699.66999999998
1669043040.306129, 395.09, 395.11, 395.23, 395.09, -0.14, -0.08, False, False, False, True, False, True, False, 394.93, 394.93, 394.93, 394.93, 99889.56999999998, 0.0, 99889.56999999998
