time, fast, fast1, slow, tLine, macd, signalLine, longBool, shortBool, longFlag, shortFlag, enterFlag, entryFlag, exitFlag, askPrice, bidPrice, lastPrice, midPrice, portfolioValue, positionValue, cash 
1671549180.0, 380.24, 380.21, 379.69, 380.42, 0.22, 0.26, False, False, True, False, False, True, True, 380.49, 380.49, 380.49, 380.49, 100021.26000000001, 20165.97, 79855.29000000001
1671554100.0, 379.59, 379.59, 380.19, 379.58, -0.29, -0.38, False, False, False, True, False, True, True, 379.66, 379.66, 379.66, 379.66, 100089.22000000002, -20121.98, 120211.20000000001
1671556500.0, 380.72, 380.74, 380.51, 380.74, 0.18, 0.25, False, False, True, False, False, True, True, 380.62, 380.62, 380.62, 380.62, 100086.69000000002, 20172.86, 79913.83000000002
1671558120.0, 380.44, 380.42, 380.47, 380.43, -0.07, -0.07, False, False, False, True, False, True, True, 380.47, 380.47, 380.47, 380.47, 100076.74000000002, -20164.91, 120241.65000000002
1671559560.0, 381.1, 381.09, 380.79, 381.13, 0.13, 0.13, False, False, True, False, False, True, True, 381.13, 381.13, 381.13, 381.13, 100170.96000000002, 96044.76, 4126.200000000023
1671562980.0, 381.52, 381.51, 381.46, 381.51, -0.01, -0.01, False, False, False, True, False, True, True, 381.55, 381.55, 381.55, 381.55, 100153.86000000002, -20222.15, 120376.01000000001
1671564420.0, 381.4, 381.41, 381.49, 381.38, -0.11, -0.08, False, False, True, True, False, True, True, 381.34, 381.34, 381.34, 381.34, 100148.20999999999, -40422.04, 140570.25
1671568320.0, 380.91, 380.86, 380.8, 381.02, 0.13, 0.05, False, False, False, False, False, False, False, 381.23, 381.23, 381.23, 381.23, 100152.03999999998, -20205.190000000002, 120357.22999999998
